found_at,board_searched,type,title,price,location,description_snippet,url,ai_verdict,ai_description,listing_page
2026-03-16 01:36:21,Burton Custom snowboard,Primary,$110,$110,Browse all,,https://www.facebook.com/marketplace/item/26405585565794538/,"[YES] The image shows two snowboards with bindings attached, which are clearly labeled as ""SNOWBOARD"" and ""Burton Custom."" They are within the buyer's size range (150-160cm) and price range ($110).","VERDICT: YES
REASON: The image shows two snowboards with bindings attached, which are clearly labeled as ""SNOWBOARD"" and ""Burton Custom."" They are within the buyer's size range (150-160cm) and price range ($110).",finds\listing_26405585565794538.html
2026-03-16 01:36:15,Burton Custom snowboard,Primary,$250,$250,Browse all,,https://www.facebook.com/marketplace/item/1695897401396351/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds\listing_1695897401396351.html
2026-03-16 01:35:54,Burton Custom snowboard,Primary,$200,$200,Browse all,,https://www.facebook.com/marketplace/item/954751673783466/,[YES] The image shows two snowboards leaning against a wall.,"VERDICT: YES
REASON: The image shows two snowboards leaning against a wall.",finds\listing_954751673783466.html
2026-03-16 01:36:27,Burton Custom snowboard,Primary,$100,$100,Browse all,,https://www.facebook.com/marketplace/item/1579485939794040/,"[YES] The image shows a pair of snow boots in a box, which is an accessory related to snowboarding.","VERDICT: YES
REASON: The image shows a pair of snow boots in a box, which is an accessory related to snowboarding.",finds\listing_1579485939794040.html
2026-03-16 01:36:51,Burton Custom snowboard,Primary,$125,$125,Browse all,,https://www.facebook.com/marketplace/item/943134321576851/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds\listing_943134321576851.html
2026-03-16 01:37:08,Burton Custom snowboard,Primary,$400,$400,Browse all,,https://www.facebook.com/marketplace/item/2154764678599445/,[YES] The image shows a snowboard leaning against a wall. It is clearly a snowboard and fits within the buyer's budget range.,"VERDICT: YES
REASON: The image shows a snowboard leaning against a wall. It is clearly a snowboard and fits within the buyer's budget range.",finds\listing_2154764678599445.html
2026-03-16 01:37:03,Burton Custom snowboard,Primary,$150,$150,Browse all,,https://www.facebook.com/marketplace/item/1345286900975163/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds\listing_1345286900975163.html
2026-03-16 01:36:57,Burton Custom snowboard,Primary,$80,$80,Browse all,,https://www.facebook.com/marketplace/item/25942258268778134/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds\listing_25942258268778134.html
2026-03-16 01:37:14,Burton Custom snowboard,Primary,$120,$120,Browse all,,https://www.facebook.com/marketplace/item/1586914099031307/,"[YES] The image shows a snowboard in a bag, which is still a snowboard being sold.","VERDICT: YES
REASON: The image shows a snowboard in a bag, which is still a snowboard being sold.",finds\listing_1586914099031307.html
2026-03-16 01:43:42,Burton Custom snowboard,Primary,$300,$300,Browse all,,https://www.facebook.com/marketplace/item/1240066768277161/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds/listings/1240066768277161.html
2026-03-16 01:43:31,Burton Custom snowboard,Primary,$250,$250,Browse all,,https://www.facebook.com/marketplace/item/742592282122484/,"[YES] The image shows a snowboard leaning against a wall. It appears to be a Burton Custom snowboard with bindings attached, and it is within the buyer's size range of 150-160cm. The price is $250, which fits within the buyer's budget.","VERDICT: YES
REASON: The image shows a snowboard leaning against a wall. It appears to be a Burton Custom snowboard with bindings attached, and it is within the buyer's size range of 150-160cm. The price is $250, which fits within the buyer's budget.",finds/listings/742592282122484.html
2026-03-16 01:43:24,Burton Custom snowboard,Primary,$300,$300,Browse all,,https://www.facebook.com/marketplace/item/1264910849077266/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard and fits within the buyer's budget range.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard and fits within the buyer's budget range.",finds/listings/1264910849077266.html
2026-03-16 01:43:37,Burton Custom snowboard,Primary,$250,$250,Browse all,,https://www.facebook.com/marketplace/item/26106953032305429/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds/listings/26106953032305429.html
2026-03-16 01:43:48,Burton Custom snowboard,Primary,$150,$150,Browse all,,https://www.facebook.com/marketplace/item/949891717566656/,[YES] The image shows a snowboard with bindings attached and is clearly labeled as a Burton Custom snowboard. It appears to be in good condition and is within the buyer's size range.,"VERDICT: YES
REASON: The image shows a snowboard with bindings attached and is clearly labeled as a Burton Custom snowboard. It appears to be in good condition and is within the buyer's size range.",finds/listings/949891717566656.html
2026-03-16 01:44:15,Burton Custom snowboard,Primary,$200,$200,Browse all,,https://www.facebook.com/marketplace/item/1463929188456153/,[YES] The image shows a snowboard with bindings attached.,"VERDICT: YES
REASON: The image shows a snowboard with bindings attached.",finds/listings/1463929188456153.html
2026-03-16 01:44:21,Burton Custom snowboard,Primary,$300,$300,Browse all,,https://www.facebook.com/marketplace/item/4369371166654691/,[YES] The image shows a snowboard with bindings attached and is within the buyer's budget range. It appears to be in good condition and suitable for the buyer's skill level.,"VERDICT: YES
REASON: The image shows a snowboard with bindings attached and is within the buyer's budget range. It appears to be in good condition and suitable for the buyer's skill level.",finds/listings/4369371166654691.html
2026-03-16 01:44:34,Burton Custom snowboard,Primary,$100,$100,Browse all,,https://www.facebook.com/marketplace/item/4212163612427802/,"[YES] The image shows a snowboard with bindings attached, which is clearly a snowboard.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is clearly a snowboard.",finds/listings/4212163612427802.html
2026-03-16 01:44:39,Burton Custom snowboard,Primary,$150,$150,Browse all,,https://www.facebook.com/marketplace/item/1592426298677381/,"[YES] The image shows a snowboard with bindings attached, which is within the buyer's budget and size range.","VERDICT: YES
REASON: The image shows a snowboard with bindings attached, which is within the buyer's budget and size range.",finds/listings/1592426298677381.html
